category,title,artist,key,bpm,difficulty,cheeseTag,upboType
남자 아이돌,Dynamite,BTS,G#,114,2절,"5,000치즈",
남자 아이돌,Idol,BTS,A,126,2절,"10,000치즈",
남자 아이돌,Seven (feat. Latto),정국,Em,100,어려움,"10,000치즈",
남자 아이돌,Get A Guitar,RIIZE,Cm,100,1절,"10,000치즈",
남자 아이돌,Love 119,RIIZE,Fm,120,2절,"5,000치즈",
여자 아이돌,Hype Boy,뉴진스 (New Jeans),G,120,2절,"5,000치즈",
여자 아이돌,Cookie,뉴진스 (New Jeans),C,110,1절,"10,000치즈",
여자 아이돌,Hurt,뉴진스 (New Jeans),Am,90,,"10,000치즈",
여자 아이돌,Ditto,뉴진스 (New Jeans),C#,134,어려움,"5,000치즈",
여자 아이돌,OMG,뉴진스 (New Jeans),F,120,,"10,000치즈",
여자 아이돌,New Jeans,뉴진스 (New Jeans),A,100,,"5,000치즈",
여자 아이돌,Super Shy,뉴진스 (New Jeans),G#,125,2절,"5,000치즈",
여자 아이돌,ETA,뉴진스 (New Jeans),Am,130,2절,"5,000치즈",
여자 아이돌,Cool With You,뉴진스(New Jeans),C#m,100,어려움,"5,000치즈",
여자 아이돌,How Sweet,뉴진스(New Jeans),G,110,,"10,000치즈",
여자 아이돌,행복(Happiness),레드벨벳 (Red Velvet),F#,120,어려움,"5,000치즈",
여자 아이돌,Ice Cream Cake,레드벨벳 (Red Velvet),Fm,120,어려움,"10,000치즈",
여자 아이돌,Something Kinda Crazy,레드벨벳 (Red Velvet),Em,100,1절,"5,000치즈",
여자 아이돌,사탕,레드벨벳 (Red Velvet),C,110,2절,"10,000치즈",
여자 아이돌,러시안 룰렛(Russian Roulette),레드벨벳 (Red Velvet),G#,125,어려움,"10,000치즈",
여자 아이돌,빨간 맛(Red Flavor),레드벨벳 (Red Velvet),A,126,,"10,000치즈",
여자 아이돌,피카부(Peek-A-Boo),레드벨벳 (Red Velvet),Dm,120,1절,"5,000치즈",
여자 아이돌,Power Up,레드벨벳 (Red Velvet),Cm,100,어려움,"10,000치즈",
업보목록,love me or leave me,데이식스,?,?,,,녹음
업보목록,군청,요아소비,?,?,,,녹음
업보목록,아 왜,데이식스,?,?,,,녹음
업보목록,I Like U,NIKI,?,?,,,노래 연습
업보목록,여봉봉,아울,?,?,,,애교곡
제이팝,밤을 달리다,YOASOBI,F#,130,1절,"5,000치즈",
제이팝,Hey-day 광상곡,After Glow,A,200,2절,"5,000치즈",
제이팝,R.I.O.T,Raise A Suilen,Dm,190,1절,"5,000치즈",
제이팝,체리밤,SILENT SIREN,G,130,1절,"5,000치즈",
제이팝,God Knows...,Shoko nakagawa,F#m,175,2절,"5,000치즈",
제이팝,꼭두각시 피에로,하츠네 미쿠,Cm,120,어려움,"5,000치즈",
제이팝,로미오와 신데렐라,하츠네 미쿠,C,120,2절,"5,000치즈",
제이팝,무희,바운디,Am,128,어려움,"5,000치즈",
제이팝,KICK BACK,요네즈 켄시,Dm,100,어려움,"5,000치즈",
제이팝,Lady,요네즈 켄시,Bb,120,2절,"5,000치즈",
제이팝,선잠,레이나,C,70,,"5,000치즈",
제이팝,finale,eill,F,100,1절,"5,000치즈",
팝송,Tango,Abir,F#m,145,1절,"5,000치즈",
팝송,Someone Like You,Adle,A,135,어려움,"5,000치즈",
팝송,If I Ain't Got You,Alicia Keys,G,118,2절,"5,000치즈",
팝송,How Far I'll Go,Auli'i Cravalho,E,90,어려움,"5,000치즈",
팝송,Watermelon Sugar,Harry Styles,Dm,96,어려움,"5,000치즈",
팝송,Let It Go,Idina Menzel,G,68,2절,"5,000치즈",
팝송,Part of Your World,Jodi Benson,Gb,106,어려움,"5,000치즈",
